frame,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_hip_x,r_hip_y,r_hip_z,l_hip_x,l_hip_y,l_hip_z
1748,0.332601934671402,0.4256802201271057,-0.25591763854026794,0.42778316140174866,0.45608600974082947,-0.3906603157520294,0.5432230830192566,0.41683727502822876,-0.37999504804611206,0.39696282148361206,0.42438703775405884,0.25202515721321106,0.4975174069404602,0.43035435676574707,0.3006365895271301,0.5526105165481567,0.4090755879878998,0.12361767143011093,0.38825199007987976,0.5772456526756287,-0.1568208485841751,0.4063203036785126,0.5763295292854309,0.15713109076023102
1749,0.33237624168395996,0.42343956232070923,-0.261107474565506,0.4284619688987732,0.4488967955112457,-0.38406673073768616,0.5362750291824341,0.41179370880126953,-0.3201141953468323,0.3971562385559082,0.42283758521080017,0.24967911839485168,0.5027397871017456,0.4238187372684479,0.30044442415237427,0.5489492416381836,0.40076661109924316,0.14541389048099518,0.39005589485168457,0.5771713256835938,-0.15922808647155762,0.4059130847454071,0.5762572884559631,0.15953266620635986
1750,0.3338157534599304,0.4234445095062256,-0.28638169169425964,0.42972061038017273,0.44906872510910034,-0.42407935857772827,0.535554826259613,0.41187620162963867,-0.3951573967933655,0.3841302990913391,0.4229472577571869,0.25993072986602783,0.49601858854293823,0.4242125153541565,0.4036063253879547,0.5472453832626343,0.40097150206565857,0.3647344708442688,0.3934369683265686,0.5792151689529419,-0.16991305351257324,0.39668792486190796,0.5809972286224365,0.17020820081233978
1751,0.3371124863624573,0.4232899248600006,-0.2913295030593872,0.43040353059768677,0.44166985154151917,-0.43176302313804626,0.5341895818710327,0.39847686886787415,-0.40439754724502563,0.3808404803276062,0.42466363310813904,0.2825247347354889,0.48953068256378174,0.4251464903354645,0.4490424394607544,0.546177327632904,0.39876651763916016,0.43522292375564575,0.3892308175563812,0.5797387957572937,-0.17484277486801147,0.3925909698009491,0.5851643681526184,0.17516376078128815
1752,0.33739298582077026,0.4232221245765686,-0.33021116256713867,0.43252530694007874,0.4418361186981201,-0.43925124406814575,0.5338709950447083,0.39711877703666687,-0.36048752069473267,0.379882276058197,0.4257067143917084,0.31071168184280396,0.489377498626709,0.4271690249443054,0.5109609961509705,0.545423686504364,0.39835378527641296,0.5018467307090759,0.3814675509929657,0.5816277265548706,-0.1969546228647232,0.39311638474464417,0.5863118171691895,0.1974857896566391
1753,0.33737611770629883,0.423929363489151,-0.31674182415008545,0.43308085203170776,0.44065386056900024,-0.40946197509765625,0.5335788130760193,0.3972468972206116,-0.27948206663131714,0.3761272430419922,0.42571669816970825,0.3122628629207611,0.4835509955883026,0.4273201525211334,0.5105924606323242,0.5414706468582153,0.39827466011047363,0.5153980255126953,0.3902384340763092,0.5836101770401001,-0.1962255835533142,0.39322271943092346,0.5865930318832397,0.19672062993049622
1754,0.3378776013851166,0.4246271550655365,-0.3191778063774109,0.43468889594078064,0.44073066115379333,-0.4098578095436096,0.5328319072723389,0.39755555987358093,-0.295074999332428,0.37098193168640137,0.4256965219974518,0.3114601969718933,0.4774528443813324,0.42718735337257385,0.5226441025733948,0.5389202833175659,0.3980857729911804,0.5307955741882324,0.39513063430786133,0.5847228169441223,-0.19741258025169373,0.3934876620769501,0.5867795348167419,0.19787998497486115
1755,0.3375875651836395,0.4246729016304016,-0.3171692192554474,0.43252381682395935,0.436943382024765,-0.4041469693183899,0.532773494720459,0.3941804766654968,-0.30629217624664307,0.3671618103981018,0.42567285895347595,0.31851258873939514,0.46674758195877075,0.4260013997554779,0.49769240617752075,0.5394055247306824,0.39532503485679626,0.4603393077850342,0.39510104060173035,0.5845946073532104,-0.195986807346344,0.3932666480541229,0.5863901376724243,0.1964094191789627
1756,0.3355140686035156,0.4227188527584076,-0.31442320346832275,0.4312902092933655,0.43567806482315063,-0.42841237783432007,0.532689094543457,0.3926147222518921,-0.4136928617954254,0.3681212067604065,0.4252132475376129,0.31203797459602356,0.4642259478569031,0.42622366547584534,0.48026344180107117,0.5403355956077576,0.39419472217559814,0.45127376914024353,0.3971370756626129,0.5822268128395081,-0.19399619102478027,0.3934498131275177,0.5863288640975952,0.19442935287952423
1757,0.33544921875,0.4227350652217865,-0.3077203035354614,0.43130752444267273,0.436126172542572,-0.42540690302848816,0.5332314968109131,0.3918798565864563,-0.38808509707450867,0.366630882024765,0.42513662576675415,0.3281053900718689,0.46535825729370117,0.4275643229484558,0.5207251906394958,0.541796088218689,0.3944120705127716,0.5148897767066956,0.39989903569221497,0.5804158449172974,-0.19356369972229004,0.39356040954589844,0.5860481262207031,0.19391928613185883
